,School Name,School Address,School Phone,affiliation
0,Government Decondary School,"Tamaloo, Car, District T, ...",09474219052,CSEB
1,Government Model Secondary School,"Kamorta, Nancowry, District, ...","03192272071 , 9679584608",CSEB
2,Government Secondary School,Mus Car-Nicobar Andaman & Islands...,"03193 67223 , 67711",CSEB
3,Government Secondary School,Kakana Carandaman & Islands...,,CSEB
4,Government Secondary School,Gandhi Nagar Campbell Bay Greatandaman & Isla...,"03192 282618 , 84489",CSEB
5,Government Secondary School,Pilpillow Nancowrie Andaman & Islands...,,CSEB
6,Government Secondary School,Westbay Katchal Katchal Islands Andaman & Isl...,,CSEB
7,Government Secondary School,"Kuitasukh, Chowra, Island, Nancowry, ...","03193 263225 , 09434288211",CSEB
8,Government Senior Secondary School,Kapanga Katchal Islands ...,,CSEB
9,Government Senior Secondary School,Champin Nancowrie P. O. Andaman & Islands...,,CSEB
10,Government Senior Secondary School,Malacca Car-Nicobar Andaman & Islands...,"03193 5275 , 5308",CSEB
11,Government Senior Secondary School,Vijay Nagar Campbell Bay Greatandaman & Islan...,"03192 50337 , 64240",CSEB
12,Government Senior Secondary School,Sawai Car-Nicobar Andaman & Islands...,,CSEB
13,Government Senior Secondary School,Lapathy Car-Nicobar Andaman & Islands...,67206,CSEB
14,Government Senior Secondary School,Campbell Bay Greatandaman & Islands...,"03192 64240 , 64304 64304",CSEB
15,Jawahar Navodaya Vidyalaya,Arong Carpoandaman & Islands 744301 Andaman &...,03193 67033,CSEB
16,Accord School,"Rc Road, Chiguruwada North, Tirupati...",0877 6457775,CSEB
17,B V Reddy Senior Secondary School,Satyanarayanapuram C. G. Palle Post...,"08572 200100 , 35492 651954",CSEB
18,Bhartiya Vidya Bhavans Sri Venkateswara Vidyalaya,Pb #12 Bvb Campus Sapthagiri Nagar Alipiri Ti...,"08574 30140 , 34120 31831",CSEB
19,Edify School,"Vaishnavi Nagar, Mohan Gardens, Tiruchanoor, ...",08773242324,CSEB
20,Jawahar Navodaya Vidyalaya,Valasapalle ( Via ) Madanapalle...,"08571 62631 , 62631",CSEB
21,Kendriya Vidyalaya No 2,Carriage Repair Shop Settipalli Tirupathi...,"08574 75490 , 54034",CSEB
22,Kendriya Vidyalaya No.1,Ramnagar Area Tirupati...,"08574 32577 , 31457 31457",CSEB
23,Marg Chinmaya Vidyalaya,"Kotramangalam Village, Tiruchanoor Bypass Roa...",0877 6579864,CSEB
24,Paramahansa Yogananda Vidyalaya,Kuthegaanipillai Santhipuram Mandal Kupparn...,"08570 207545 , 08570202399",CSEB
25,Silver Bells Central School,Govt Maternity Hospital Road Triupathi...,"0877 2230875 , 50245 9963185544",CSEB
