,School Name,School Address,School Phone,affiliation
0,Ashok Hall Girls' Residential School,P. O. Majkhali...,05966-240449,ICSE
1,Koormanchal Academy,Pokhar Khali...,"05962-233038, 05962-234855",ICSE
2,Jyoti Vidyalaya,Badrinath Road Joshinath Joshimath...,01389-222220,ICSE
3,Mount Carmel School,Dudhpokhra P. O. Kaflang...,05965-211147,ICSE
4,Doon Cambridge School,E 40-41 Industrial Area...,"07520557941, 09219445047",ICSE
5,S.D.A. Inter College,""" The Retreat "" Post Box #46 Roorkee...","01332-275826, 01332-272300",ICSE
6,St. John's Senior Secondary School,46 Civil Lines Roorkee...,"01332-276301, 921-940-5753",ICSE
7,Swami Hariharanand Public School,Gandhi Road Kankhal...,"01334-246813, 01334-246170",ICSE
8,ALL Saints College,00 Tallital...,05942-235121,ICSE
9,Brijwasi Scholars' Cambridge,A. K. House Heera Nagar Haldwani...,"05946-238098, 05946-241028",ICSE
10,Mount Sinai School,Ram Nagar...,"05947-251829, 05947-254030",ICSE
11,Sherwood College,,05942-236361,ICSE
12,St. Andrew's Public School,Bhowali...,"05942-220239, 05942-220569",ICSE
13,St. Joseph's College,,05942-231185,ICSE
14,St. Mary's Convent High School,"Ramnee Park, Naintal, Uttarakhand - 263002...","05942-235364, 05942-238239",ICSE
15,Dr. D. C. Budakoti Vidyatri Public School,Village Grastanganj P. O. Kumbhichaur Kotdwar...,"+919368792239, +919897731096",ICSE
16,Mother Land Academy,Shibbunagar Near Devi Temple Devi Road Kotdwa...,91382-222163,ICSE
17,St. Joseph's Convent School,Kotdwara...,01382-222410,ICSE
18,St. Theresa's School,Srinagar...,01346-252272,ICSE
19,St. Thomas Convent School,,01368-222323,ICSE
20,ALL Saints Convent School,,01376-232081,ICSE
21,Carmel School,Chamba...,01376-255155,ICSE
22,Masseeh Dilasa School,Tiloth Uttarkashi...,01376-222279,ICSE
23,Mount Carmel Christian Academy,Bagardhar Narendra Nagar...,"01378-223600, 01378-223601",ICSE
24,Omkarananda Saraswati Nilayam,Muni-Ki-Reti Kailash Gate Rishikesh...,0135-2431906,ICSE
25,Confluence World Schoolonfluence World School,Education Acres 6 Km Milestone NH-74 Rudrapur...,"08755712345, 09760299000",ICSE
26,Maria School,Kishenpur Jaspur P. O...,05947-220187,ICSE
27,St. Mary's School,Bara Khera Balram Nagar  P. O....,05949-273133,ICSE
28,St. Anthony's Convent School,Nirmala Niketan Jaigaon P. O. Jalpaiguri...,"03566-263489, 03566-263280",ICSE
29,St. Paul's School,"Vidya Danga, Dumka Road, Rampurhat, Birbhum,...",03461 257700,ICSE
30,St. Teresa's School,Bolpur Paruldanga P. O...,"03463-255035, 03463-252696",ICSE
31,St. Mary's High School,"Baishguri New, Cooch Behar, West Bengal - 736...",03582-241171,ICSE
32,The Green View English Academy,Post-Chakvrigu North Chakbhabani Police Fari ...,03522-271423,ICSE
33,Abbot Shishu Hall,Imambazar Road...,033-26802607,ICSE
34,Auxilium Convent School,Bandel Hooghly P. O...,"033-26312460, 033-26314460",ICSE
35,Don Bosco School,Bandel P. O. & District Hooghly Bandel...,"033-26312437, 09874333346",ICSE
36,Dreamland School,T. N. Mukherjee Road P. O....,"033-26634888, 033-26641987",ICSE
37,Dunlop English Medium School,Dunlop Estate P. O. Sahaganj...,"033-64558097, 033-27118309",ICSE
38,Gospel Home School,"21a/1 Satya Charan Sastri Street, Rishra, Hoo...",033- 26726757,ICSE
39,H. S. Memorial School,Karma Complex Village Baksha Baksha P. S. Cha...,"03212-223297, 03212-223201",ICSE
40,Holy Cross School,Mondalai P. S. Pandua Hooghly...,9333055592,ICSE
41,Holy Home,24 27 28 & 28 B T. C. Goswami Street Serampor...,033-26623133,ICSE
42,Jogamaya Memorial Institute,2 No. Ratanpur Singur...,"033-26302379, 033-65449907",ICSE
43,Julien Day School,Kona Expressway Nibra...,"033-26534058, 033-6050030",ICSE
44,Methodist School,Dankuni Coal Complex Township Dankuni...,"033-26593075, 033-26591212",ICSE
45,Pearls of God,5/4  Road Hind Motors...,033-26946479,ICSE
46,Shatavisha Public School,Brahmanpara Haripal...,"03212-243172, 033-26300558",ICSE
47,St. Joseph's Convent,Strand Road P. O. Chandan Nagar Chandannagar...,"033-26855030, 033-26855421",ICSE
48,Stepping Stone School (high),89/90/i Bangur Park Rishra...,"033-26726934, 033-26727167",ICSE
49,Tribeni Tissues Vidyapith,Chandrahati P. O....,033-26846146,ICSE
50,Vision International School,Vidyasagar Lane 56 T. N. Mukherjee Road Makhl...,"033-26644338, 033-26644337",ICSE
51,West Point Academy,177 G. T. Road ( Mahesh ) P. O. Serampore...,033-26524142,ICSE
52,Xavier's English School,8/b/17 G. T. Road ( West ) P. O. Konnagar...,"033-26741072, 033-26726171",ICSE
53,Emmanuel English School,P. O. Samsi...,03513-265253,ICSE
54,Holy Child English Academy,Noonbahi Road P. O. Malda...,"03512-278530, 03512-279077",ICSE
55,North Point English Academy,Mahananda Pally Jhaljhalia...,"03512-268520, 03512-284236",ICSE
56,The St. Xavier's School,Gour Road Krishnakalitala...,"03512-252964, 03512-255098",ICSE
57,Don Bosco English Medium School,P. O.  P. S. Sagardighi  Murshidabad...,,ICSE
58,Gitaram Academy,NH-34 Radharghat Berhampore...,"03482-226440, 03482-2265599",ICSE
59,Holy Family School,Farakka-Chowkigram P. O. Baniagram...,03485-251613,ICSE
60,Mary Immaculate School,Berhampore...,03482-256474,ICSE
61,Bishop Morrow School,Bejikali More Krishnanagar P. O. Krishnagar...,"03472-258439, 03472-252242",ICSE
62,Convent of Jesus and Mary,Don Bosco Para Ranaghat...,"03473-212286, 03473-212980",ICSE
63,Julien Day School,A-10 School Area Kalyani...,033-25829621,ICSE
64,Krishnagar Academy,Raja Road Krishnagar...,03472-252561,ICSE
65,St. Mary's English School,Aishtala Garer Bagan Ranaghat...,03473-251376,ICSE
66,Belda English Medium School,P. O. -  District Paschim Medinipur  West Med...,03229255884,ICSE
67,Christopher Day School,Malancha Road P. O. Nimpura Kharagpur West-72...,"03222-253757, 03222-253766",ICSE
68,M. N. M. Memorial High School,Temathani P. O. Lutunia P. S. Sabang West...,"03222-248726, 248915",ICSE
69,Royal Academy,Nazarganj P. O. Midnapore Nazarganj West-721 ...,"03222-273371, 03222-271150",ICSE
70,S.E. Rly. Mixed Higher Secondary School,South Side Kharagpur West-721 301...,"03222-221257, 03222-255279",ICSE
71,Splendour High School,Salua Kharagpur West-721 145...,03222-296521,ICSE
72,Sri Aurobindo Vidyabhawan,P. O. - Balichak District Paschim Medinipur W...,"03222244715, 9932280273",ICSE
73,St. Agnes School,6th Avenue Kharagpur West-721 301...,03222-255410,ICSE
74,St. Joseph's School,Temple Road Kharagpur West-721 301...,"03222-255131, 03222-250211",ICSE
75,Vidyasagar Shishu Niketan,Rangamati Midnapore West-721 102...,"03222-267325, 09734415293",ICSE
76,West END High School,Laukhapara Kalaboni Jhargram West-721 507...,"03221-255642, 03221-256051",ICSE
77,"St. Xavier's School, Bidhannagar","Bidhannagar, P.O: 
ABL Township, 
Durgapur,...","0343-2502181, 2504152",ICSE
78,Apex Academy,Madhyahingli Mahishadal Na East-721 628...,03224-242170,ICSE
79,Contai Public School,Dakshin Gopinathpur P. O. Contai Medinipore E...,03220-258953,ICSE
80,Disari Public School,Disari Global Village P. O. Kumarpur P. S. Bh...,"03224-6476958, 03224-205257",ICSE
81,Tamralipta Public School,Padumbasan Holding #409 Ward #9 P. O. & P. S....,03228-270077,ICSE
82,The Assembly of God Church School,Haldia Township Haldia East-721 607...,"03224-264083, 03224-263284",ICSE
83,Vivekananda Academy,Village : Depal P. S : Ramnagar District Purb...,,ICSE
84,Vivekananda Mission School,Anchorage Camp P. O. Haldia Port Haldia Towns...,"03224-263123, 03224-265444",ICSE
85,Sacred Heart High School,6th Avenue Kharagpur West Medinipu...,"03222-256266, 03222-221523",ICSE
86,Sacred Heart School,P. O. Adra S. E. Railway Purulia District...,03251-244386,ICSE
87,St. Xavier School,Belguma...,03252-228674,ICSE
88,Budge Budge St. Paul's Day School,199/7 Dharamatala Road Budge Budge Panjal Par...,"033-32612362, 033-24705298",ICSE
89,Carmel School,Sarangabad B. B. T. Road Maheshtala Kolkata...,033-24800295,ICSE
90,Gems Akademia International School,Bakrahat Road Thakurpukur P. O. Rasapunja 24 ...,24980672,ICSE
91,Ideal Public School,Mollarthes Hasimnagar Diamond Harbour Road So...,+91 9197001247,ICSE
92,K. E. Carmel School,Amtala P. O. Bishnupur Baruipur Road...,"033-24709615, 033-65445348",ICSE
93,S.L. Bajoria Foundation High School,Sanjua P. O. Bakrahat...,"033-24950076, 033-24954142",ICSE
94,St. Stephen's School,17 M. G. Road Budge Budge Kolkata...,033-2480-2856,ICSE
95,Welkin National School,Puratan Bazar Post Baruipur Kolkata...,033-24333231,ICSE
96,St. Claret School,Bishrail Chenchra P. O. Dakshini Bishrail Nor...,09475225809,ICSE
97,St. Xavier's School,Telghani Karnajora P. O. Raiganj North-733 13...,"03523-250711, 03523-254755",ICSE
98,The Scholar,Islampur North-733 202...,03526-258425,ICSE
99,Mahalingpur Public School,# R. S. #67 Jambagi Extension Chimmad Bagalko...,08350-203333,ICSE
100,St. Anne's School,Near Sham Way Bridge Vidyagiri...,08354-233328,ICSE
101,Dnyan Prabodhan Mandir,438/13 Jaitan Mal Near Ashok Iron Plant-I Pir...,"0831-6512280, 0831-6512281",ICSE
102,Phoenix Public Residential School,Pune-Mumbai Highway Honaga...,0831-4203021,ICSE
103,St. Francis of Assisi School,Mirjikodi Chikodi...,08338-272670,ICSE
104,St. Mary's International School,Undedasarahalli Uppalli Village Indavara P.O...,"+91 8262-228402, 228403",ICSE
105,Gem International Residential School,"Bevenhalli, Alipur Post, Gauribidanur Taluk, ...",08155 289752/53,ICSE
106,Shantha Vidyaniketan,Peresandra Cross Peresandra Village Chickball...,7259233555,ICSE
107,St. ANN's School,Gauribidanur Madanahalli B. H. Road Kolar Dis...,"08155-292673, 08155-285735",ICSE
108,Vidyanidhi Public School,B. H. Road Gauribidanur Gauribidanur Taluk Ch...,"08155-285444, 08155-286685",ICSE
109,Don Bosco School,P. B. #64 N. H. 4 Road Kelagote...,"08194-234804, 08194-234656, 08194-235995",ICSE
110,St. Theresa's School,Bendur Mangalore...,0824-2214278,ICSE
111,Oriental Primary and High School,Mcl Road Gokul Road Hubli...,0836-2236009,ICSE
112,Parivarthan Elite English Medium School,Ganjikatti Road  Taluk : Kalaghatgi District ...,"08370283504, 08370283502",ICSE
113,Parivarthan Gurukul Heritage English Medium School,Akshay Nagar ( Gokul Road ) Hubli...,"09902263922, 09908849422",ICSE
114,Vinay Chikkatti School,Near Adavisomapur Mundargi Road Gadag...,"08372218838, +919448007467",ICSE
115,Sayyid Akbar Husayni School,Khaja Bandanawaz Marg Near Dargah Rauza-E-Buz...,08472-223939,ICSE
116,Anantha International School,Ananthasadana Laxmipura Arsikere...,"08174-233384, 08174-233339",ICSE
117,Podar International School,#32 & 33 Kiadb Industrial Area Kasaba Hubli...,08172-245855,ICSE
118,Shri Vivekananda Public School,Raghavendra Saw Mill Road Gayathri Extension ...,"9481543795, 9964830044",ICSE
119,Rainbow Residential Public School,P. B. #63 N. H. - 4 P. B. Road Kamadod Ranebe...,"08453005046, 08453005045",ICSE
120,Coorg Public School,Post Box #14 Gonikoppal S. Kodagu...,"08274-247011, 08274-247881",ICSE
121,General Thimmaiah Public School,Shree Omkareshwara Temple Road Madikeri...,08272-224830,ICSE
122,Karaumbiah's Academy For Learning and Sports,87/2 Kaikeri Gonikoppal South Coorg...,"08274-279456, 08274-279457",ICSE
123,American Friendship Residential School,P. O. Gudibanda Renumakalahalli...,"08156-261016, 080-25280597",ICSE
124,Christ International School,Alambady Malur District...,"08151-238778, 08151-238779",ICSE
125,Gnana Jyothi School,NH-4 M. I. T. C. Colony V. Guttahalli Mulbaga...,"09242613860, 09449218508",ICSE
126,Greencity International School,Hosur Road Malur Kolar...,"9448789080, 9482766608",ICSE
127,Jyothi English Medium School,Chintamani P. O. Box #34...,08154-290584,ICSE
128,Prem Seva Vidyalaya,Prem Seva Nagar 1 Endrikayapura Narasapura Ma...,"08152-210487, 08152-291164",ICSE
129,Sri K. V. English School,C. V. V. Campus Chickballapur...,"08156-263070, 08156-309582",ICSE
130,Sri R.V. School,R. V. Garden P. C. Hally NH-4 Bypass...,08152-222971,ICSE
131,Sri Venu Central School,Unikili Kasaba Hobli Srinivaspur...,"08157-245265, 09972328125",ICSE
132,Suguna International School,Near Deepthi Mahal Bangalore-Chennai National...,"9353046808, 9353046812",ICSE
133,Vidya Jyothi School,Basavanatha...,08152-290746,ICSE
134,R.V.S.R. Central School,Survey #57/a Marlanahalli Gangavathi Taluk...,"08533-283127, 08533-283128",ICSE
135,S. F. S. Primary School,Hospet Road...,"08539225026, 08539225027",ICSE
136,Sapthagiri Public School,Road Vaddarahatti Gangavathi...,08533-271113,ICSE
137,Athreya Public School,8th Cross V. V. Nagar...,08232-223535,ICSE
138,BGS Model Public School,"Sasyakashi, Nagamangala, Mandya, Karnataka - ...",+91 9342671526,ICSE
139,Cauvery Public School,P. B. #47 Tubinakere Jakkanally Road Ragimudd...,"08232-219135, 08232-219136",ICSE
140,De Paul International Residential School and Junior College,Avverahalli Belagola P. O. Srirangapatna...,"0281-3290401-02, 08236-290340-43",ICSE
141,Gnanodaya Public School,#413/4 Belawadi Naguvanahalli Post Srirangapa...,"08236-292692, 08236-292694",ICSE
142,Jyothi Nivas School,Cauvery Extension Srirangapatna...,"09845277992, 09480382798",ICSE
143,Santhome Public School,Kyatamgere Bannur Road Kiragandur ( P. O. )...,"08232-219124, 08232-220200",ICSE
144,Acharya Vidya Kula,Aloka Road Left Fork Off Mysore Madikeri High...,0821-2402150,ICSE
145,Adhyayan School,Ca-02 Adishakthi Road Shakthinagar...,"0821-2476147, 09342241211",ICSE
146,Flos Carmeli Convent School,#480 Old Kesare Village Na...,"0821-2491006, 0821-2491002",ICSE
147,Jnanasarovara International Residential School,"Parshuramanagar, Bhugathanahalli, Vajamangala...","0821-2479814, 0821-2479813",ICSE
148,Mysore Public School,H. D. Kote Road Rayanakere Post...,"0821-2597917, 0821-2597957",ICSE
149,Nalanda Gurukula International,Guddenahalli Koppa Post Periyapatna Taluk...,08223-258253,ICSE
150,Notre Dame School,Vijayanagar Iv Stage Hunsur Road Hinkal...,0821-2402856,ICSE
151,Shree Mahaveer Jain Vidyalaya,# C. A-01 Siddartha Layout Mysore...,08212475247,ICSE
152,Daffodils Concept School,Gangavati Road Hosahalli ( E. J. ) Cross Tq. ...,08535-200238,ICSE
153,Akshara Residential School,Kalenahalli Cross P. B. #09 Shikaripura...,"08187-290279, 08187-290810",ICSE
154,National Residential School,Thirthahalli Taluk Konandoor...,"08181-796344, 08185-551102",ICSE
155,Radhakrishna Public School,#67/2 Varadahalli Road Sagar...,08183-236228,ICSE
156,Sahyadri School,Yadehalli Bettamakki Seebinakere Post Thirtha...,08181-228810,ICSE
157,St. Joseph's Aksharadhama,Sagar Road Gadikoppa...,"09743094064, 09686124121",ICSE
158,Bhoomi Public School,Nh-206 Herur   Tumkur...,,ICSE
159,Bishop Sargant School,C. S. I. V. C. Campus B. H. Road...,0816-2252092,ICSE
160,Kunigal Valley International Residential School,Gottikere B. M. Road Kunigal...,08132-292391,ICSE
161,The Presidency Public School,42/1 Jyothi Nagar Gurukula Extension Amarapur...,"08135-277961, 08135-235366",ICSE
162,Varin International Residential School,Doddahosur Kunigal Road Gulur Post...,"0816-6532327, 0816-2299500",ICSE
163,Green Park Central School,Hiriadka...,0820-2542404,ICSE
164,Sharada Residential School,Kunjibettu...,"0820-2523129, 0820-2534991",ICSE
165,Trinity Central School,Perampalli Shivally Village Manipal...,0820-2572525,ICSE
166,Vidyaniketan Public School,Kaup...,"0820-2552253, 0820-2579216",ICSE
167,Vidyodaya Public School,Vadiraja Road...,"0820-2531021, 0820-252055",ICSE
168,New Shams School,Post Box #20 Syed Ali Campus Bhatkal Uttara K...,"9296200448, 9731751287",ICSE
169,Vidyanjali Public School,Ayodhya Nagar Sagar Road Bhatkal...,08385-222207,ICSE
170,"Anand Niketan, Satellite","B/h Novotel Hotel , Nr Asawari Tower,
Off S....",079-65217886,ICSE
171,"Anand Niketan, Shilaj","Nr Ambli Railway Crossing,
Thaltej...",9737047647,ICSE
172,Divine International School,Nikol-Naroda Road Near Shukan Bungalows Nikol...,"079-65212362, 09879208500",ICSE
173,Eklavya School,Village Sanathal P. O. Sarkhej...,"2717-294227, 079-26461629",ICSE
174,J.G. International School,"Jg Campus of Excellence, Off Sola Road...",079 2749 9315 / 2749 2315 / 6541 6438,ICSE
175,Lalji Mehrotra Lions School,At. Ognaj Near Lions Eye Hospital Office Sark...,"02717-244201, 02717-244204",ICSE
176,Madhav International School,Pranaminagar Vastral Ahmedabad...,079-65495620,ICSE
177,S. G. V. P. International School,Sarkhej-Gandhinagar Highway Chharodi...,"02717-242138, 02717-242139",ICSE
178,S.D.A. Higher Secondary School,132 Ft. Ring Road Haripura Maninagar East...,"079-25861452/53, 079-25858377",ICSE
179,The New Tulip International School,Sterling City Bopal...,02717 329210,ICSE
180,"Zydus School For Excellence, Vejalpur","Near Alka Park Bus Stop,
Vejalpur, Jivraj pa...",+91-79-26826799,ICSE
